candidate,party,district,predicted_votes_in_2023_elections,predicted_elected,election_result,votes_in_2023_elections,age,sex
Seppälä Peppi,VIHR,UUS,1824.0477,0,NOT_ELECTED,2155,30,1
Viilo Mikko,VIHR,UUS,1817.2913,0,NOT_ELECTED,818,48,0
Hirvasvuopio Janne,VIHR,UUS,1804.0446,0,NOT_ELECTED,953,33,0
Gilbert Olga,VIHR,UUS,1662.6484,0,NOT_ELECTED,1211,37,1
Rämö Eve,VIHR,UUS,1411.637,0,NOT_ELECTED,733,39,1
Huusko Outi,VIHR,UUS,1312.5402,0,NOT_ELECTED,502,56,1
Kilpiäinen Timo,VIHR,UUS,1233.2003,0,NOT_ELECTED,274,42,0
Friman Reija,VIHR,UUS,1155.371,0,NOT_ELECTED,2423,32,1
Hölttä Harri,VIHR,UUS,1125.89,0,NOT_ELECTED,562,47,0
Lintula Tiia,VIHR,UUS,1010.4308,0,NOT_ELECTED,648,42,1
Seppänen Tia,VIHR,UUS,946.8948,0,NOT_ELECTED,915,33,1
Sointukangas Kati,VIHR,UUS,846.37897,0,NOT_ELECTED,492,48,1
Dookie Gyan,VIHR,UUS,815.81,0,NOT_ELECTED,419,56,0
Saarni Matti,VIHR,UUS,801.5397,0,NOT_ELECTED,463,37,0
Leinonen Santeri,VIHR,UUS,780.1362,0,NOT_ELECTED,478,22,0
Jyrinki Samuel,VIHR,UUS,777.1286,0,NOT_ELECTED,375,34,0
Tulikorpi Laura,VIHR,UUS,748.2278,0,NOT_ELECTED,1038,47,1
Liinalampi Tommi,VIHR,UUS,670.5119,0,NOT_ELECTED,261,39,0
Kahri Lilli,VIHR,UUS,574.3383,0,NOT_ELECTED,1129,43,1
Kivineva Sanna,VIHR,UUS,498.41617,0,NOT_ELECTED,527,47,1
Viitanen Samu,VIHR,UUS,496.37137,0,NOT_ELECTED,124,48,0
Kuusisaari-Bergström Maarit,VIHR,UUS,435.0816,0,NOT_ELECTED,531,64,1
Elfgren Thomas (Tuffe),VIHR,UUS,417.19977,0,NOT_ELECTED,339,68,0
Lotila Mari,VIHR,UUS,387.83572,0,NOT_ELECTED,371,52,1
Kyrö Jaakko,VIHR,UUS,385.89508,0,NOT_ELECTED,124,46,0
Pasanen Jarmo,VIHR,UUS,377.51758,0,NOT_ELECTED,409,63,0
Lohikoski Pia,VAS,UUS,5830.138,1,NOT_ELECTED,2550,45,1
Saramo Jussi,VAS,UUS,5584.727,1,ELECTED,4944,43,0
Demiri Funda,VAS,UUS,1632.7003,0,NOT_ELECTED,1718,24,1
Nguyen Chau,VAS,UUS,1368.4844,0,NOT_ELECTED,329,34,0
Bibani Gashaw Kaisa,VAS,UUS,1166.8336,1,ON_SUBSTITUTE_PLACE,2538,35,1
Nevantausta Hanna,VAS,UUS,914.1044,0,NOT_ELECTED,440,38,1
Alam Shamsul,VAS,UUS,905.7297,0,NOT_ELECTED,136,46,0
Ylisiurua Katja,VAS,UUS,873.3367,0,NOT_ELECTED,693,30,1
Aittakumpu Birgit,VAS,UUS,800.6867,0,NOT_ELECTED,1450,49,1
Vainiola Lotta,VAS,UUS,682.0645,0,NOT_ELECTED,924,31,1
Kylätasku Leo,VAS,UUS,659.2004,0,NOT_ELECTED,608,41,0
Ahokas Valtteri,VAS,UUS,658.25714,0,NOT_ELECTED,355,21,0
Nykyri Elina,VAS,UUS,592.6572,0,NOT_ELECTED,393,46,1
Jääskeläinen Jari,VAS,UUS,555.7046,0,NOT_ELECTED,343,56,0
Pekonen Sara,VAS,UUS,515.7197,0,NOT_ELECTED,253,42,1
Weckström Jonna,VAS,UUS,499.72388,0,NOT_ELECTED,844,39,1
Haapa-Aro Petra,VAS,UUS,499.69766,0,NOT_ELECTED,415,41,1
Ahjoniemi Heli,VAS,UUS,493.35284,0,NOT_ELECTED,1721,45,1
Gran Birgitta,VAS,UUS,457.50714,0,NOT_ELECTED,250,70,1
Nukarinen Neea,VAS,UUS,430.07745,0,NOT_ELECTED,686,30,1
Björklund Ralf,VAS,UUS,390.28317,0,NOT_ELECTED,88,42,0
Karvinen Anu,VAS,UUS,387.82684,0,NOT_ELECTED,778,47,1
Dahlvik Ava,VAS,UUS,377.28656,0,NOT_ELECTED,196,22,1
Rankka Tyrni,VAS,UUS,363.49692,0,NOT_ELECTED,165,19,1
Rundt Jan,VAS,UUS,352.0394,0,NOT_ELECTED,154,44,0
Salmi Juho,VAS,UUS,349.85757,0,NOT_ELECTED,364,41,0
Rodriguez Elina,VAS,UUS,345.29092,0,NOT_ELECTED,491,29,1
Tamminen Liisa,VAS,UUS,339.9572,0,NOT_ELECTED,233,44,1
Saarinen Antti,VAS,UUS,338.8814,0,NOT_ELECTED,171,57,0
Piikkilä Nelli,VAS,UUS,334.12885,0,NOT_ELECTED,173,44,1
Volanen Matti Vesa,VAS,UUS,333.13025,0,NOT_ELECTED,97,76,0
Ahmad Moussa,VAS,UUS,327.9314,0,NOT_ELECTED,406,40,0
Värekoski Vertti,VAS,UUS,297.76898,0,NOT_ELECTED,83,31,0
Hauru Juho-Aleksi (Aki),VAS,UUS,286.00977,0,NOT_ELECTED,431,47,0
Kouvalainen Olli,VAS,UUS,265.83124,0,NOT_ELECTED,187,44,0
Pavas Petteri,VAS,UUS,241.33282,0,NOT_ELECTED,64,62,0
Söderström Mikael,VAS,UUS,231.5451,0,NOT_ELECTED,83,59,0
Kuru Tuukka,SML,UUS,260.70187,0,NOT_ELECTED,323,32,0
Jalonen Toni,SML,UUS,198.84584,0,NOT_ELECTED,230,31,0
Kartta Meri,SML,UUS,178.93974,0,NOT_ELECTED,17,33,1
Soinio Pyry-Lii,SML,UUS,172.57445,0,NOT_ELECTED,27,22,0
Hanka Janne,SML,UUS,164.4779,0,NOT_ELECTED,15,38,0
Sarola Miro,SML,UUS,158.36867,0,NOT_ELECTED,30,48,0
Metsälä Nina,SML,UUS,158.157,0,NOT_ELECTED,111,54,1
Soinio Oona,SML,UUS,154.09126,0,NOT_ELECTED,36,21,1
Peltonen Janne,SML,UUS,152.59018,0,NOT_ELECTED,14,34,0
Heijari Juuso,SML,UUS,152.59018,0,NOT_ELECTED,9,37,0
Virkkunen Eemil,SML,UUS,151.91565,0,NOT_ELECTED,15,22,0
Jansson Anton,SML,UUS,149.38806,0,NOT_ELECTED,25,30,0
Partanen Petri,SML,UUS,141.95927,0,NOT_ELECTED,20,52,0
Selin Iisak,SML,UUS,140.02788,0,NOT_ELECTED,10,26,0
Ollila Ilmari,SML,UUS,139.08476,0,NOT_ELECTED,10,30,0
Saari Kim,SML,UUS,136.8865,0,NOT_ELECTED,14,55,0
Seppälä Juho,SML,UUS,136.58427,0,NOT_ELECTED,19,20,0
Laine Ossi,SML,UUS,131.93147,0,NOT_ELECTED,25,33,0
Hietamaa Riku,SML,UUS,131.93147,0,NOT_ELECTED,20,37,0
Snellman Eero,SML,UUS,131.93147,0,NOT_ELECTED,18,36,0
Tamminen Marcus,SML,UUS,128.6884,0,NOT_ELECTED,18,43,0
Saastamoinen Sami,SML,UUS,125.394196,0,NOT_ELECTED,35,48,0
Ursin Petja,SML,UUS,125.394196,0,NOT_ELECTED,14,45,0
Moilanen Janne,SML,UUS,121.869774,0,NOT_ELECTED,57,30,0
Annala Valtteri,SML,UUS,119.36923,0,NOT_ELECTED,46,25,0
Piisinen Joona,SML,UUS,119.36923,0,NOT_ELECTED,29,23,0
Leppänen Jasper,SML,UUS,119.36923,0,NOT_ELECTED,21,23,0
Huovinen Olli,SML,UUS,119.36923,0,NOT_ELECTED,21,24,0
Karpila Jani,SML,UUS,119.36923,0,NOT_ELECTED,21,18,0
Virkkunen Otto,SML,UUS,119.36923,0,NOT_ELECTED,19,19,0
Lammi Atte,SML,UUS,119.36923,0,NOT_ELECTED,16,28,0
Siironen Aaro,SML,UUS,119.36923,0,NOT_ELECTED,16,22,0
Kuronen Pasi,SML,UUS,119.36923,0,NOT_ELECTED,13,29,0
Siironen Iiro,SML,UUS,119.36923,0,NOT_ELECTED,8,22,0
Fager Merja,SML,UUS,94.13849,0,NOT_ELECTED,11,70,1
Sirainen Liisa,SML,UUS,92.03915,0,NOT_ELECTED,17,60,1
Sileoni Hannu (Miki),SML,UUS,-42.661114,0,NOT_ELECTED,13,52,0
Suonperä Arjo,SKP,UUS,295.01028,0,NOT_ELECTED,95,77,0
Mäntysalo Jiri,SKP,UUS,265.02914,0,NOT_ELECTED,85,22,0
Karttunen Jari,SKP,UUS,140.24498,0,NOT_ELECTED,34,41,0
Korvela Marko,SKP,UUS,132.35362,0,NOT_ELECTED,23,49,0
Ylönen Iida,SKP,UUS,123.450035,0,NOT_ELECTED,51,38,1
Kähmi Ossi,SKP,UUS,120.94859,0,NOT_ELECTED,20,75,0
Ristimäki Jaakko,SKP,UUS,116.41064,0,NOT_ELECTED,10,44,0
Ekman Heikki,SKP,UUS,116.30308,0,NOT_ELECTED,22,34,0
Lausa Thea,SKP,UUS,104.44988,0,NOT_ELECTED,4,57,1
Kajari Tarja,SKP,UUS,94.13849,0,NOT_ELECTED,12,72,1
Ahokas Jukka,SKP,UUS,93.71628,0,NOT_ELECTED,55,55,0
Christensen Matti,SKP,UUS,91.962906,0,NOT_ELECTED,10,66,0
Manner Hannele,SKP,UUS,78.811966,0,NOT_ELECTED,13,68,1
Polviander Pia,SKE,UUS,1689.8468,0,NOT_ELECTED,181,55,1
Lindtman Antti,SDP,UUS,15421.491,1,ELECTED,17866,40,0
Rinne Antti,SDP,UUS,12844.077,1,NOT_ELECTED,3527,60,0
Kumpula-Natri Miapetra,SDP,UUS,11604.569,1,ELECTED,5445,50,1
Guzenina Maria,SDP,UUS,10065.466,1,ELECTED,12088,54,1
Al-Taee Hussein,SDP,UUS,6028.3,1,NOT_ELECTED,1984,39,0
Peltonen Eemeli,SDP,UUS,5533.073,1,ELECTED,5747,28,0
Kähärä Sirkka-Liisa,SDP,UUS,5475.766,1,NOT_ELECTED,2804,58,1
Karlsson Anette,SDP,UUS,5340.692,1,NOT_ELECTED,3867,35,1
Kvarnström Johan,SDP,UUS,5104.373,1,ELECTED,4770,37,0
Räsänen Joona,SDP,UUS,4828.486,0,ELECTED,4540,36,0
Kiljunen Kimmo,SDP,UUS,3894.0671,0,ELECTED,4759,71,0
Tahvanainen Säde,SDP,UUS,3302.1418,0,NOT_ELECTED,2649,50,1
Kaukola Ulla,SDP,UUS,2977.3894,0,NOT_ELECTED,1217,59,1
Ryynänen Sami,SDP,UUS,2612.9148,0,NOT_ELECTED,1652,43,0
Marttila Helena,SDP,UUS,2561.5034,1,ON_SUBSTITUTE_PLACE,4171,38,1
Värmälä Johanna,SDP,UUS,2397.7168,0,NOT_ELECTED,1759,52,1
Aaltonen Juri,SDP,UUS,2313.1487,0,NOT_ELECTED,1643,54,0
Pahlman Irma,SDP,UUS,2294.9424,0,NOT_ELECTED,1549,65,1
Perholehto Pinja,SDP,UUS,1886.8031,1,ELECTED,5869,26,1
Abdi Faysal,SDP,UUS,1857.2449,0,NOT_ELECTED,1554,38,0
Beurling-Pomoell Juha,SDP,UUS,1827.9569,0,NOT_ELECTED,1050,42,0
Salovaara Taru,SDP,UUS,1699.0256,0,NOT_ELECTED,1850,30,1
Virtanen Harri,SDP,UUS,1577.165,0,NOT_ELECTED,494,59,0
Hiila Eeva,SDP,UUS,1409.7664,0,NOT_ELECTED,3014,43,1
El Issaoui Naima,SDP,UUS,1404.8079,0,NOT_ELECTED,1267,40,1
Pöllänen Ida-Susanna,SDP,UUS,1221.6277,0,NOT_ELECTED,628,28,1
Hallikainen Heli,SDP,UUS,1171.4961,0,NOT_ELECTED,924,50,1
Aitola Minna,SDP,UUS,1064.1838,0,NOT_ELECTED,1610,38,1
Felipe Sini,SDP,UUS,1053.7562,0,NOT_ELECTED,1692,46,1
Kotiranta Matti,SDP,UUS,794.5235,0,NOT_ELECTED,825,37,0
Eklund Kalle,SDP,UUS,776.6347,0,NOT_ELECTED,561,42,0
Haapalainen Tuija,SDP,UUS,708.0127,0,NOT_ELECTED,942,64,1
Luoma Maria,SDP,UUS,650.70795,0,NOT_ELECTED,1798,31,1
Eriksson Soile,SDP,UUS,633.6549,1,NOT_ELECTED,1947,40,1
Korventaival Nina,SDP,UUS,630.146,0,NOT_ELECTED,1671,48,1
Kokko Elina,SDP,UUS,587.3508,0,NOT_ELECTED,2029,36,1
Westerlund Linda,SDP,UUS,518.1353,0,NOT_ELECTED,599,25,1
Adlercreutz Anders,RKP,UUS,10393.444,1,ELECTED,9442,52,0
Wickström Henrik,RKP,UUS,6678.666,1,ELECTED,7306,28,0
Nylander Mikaela,RKP,UUS,5334.199,1,ON_SUBSTITUTE_PLACE,4794,53,1
Andersson Otto,RKP,UUS,4567.2188,1,ELECTED,4936,39,0
Blomqvist Thomas,RKP,UUS,3923.7527,0,NOT_ELECTED,3363,58,0
Blomqvist-Valtonen Elin,RKP,UUS,3567.47,0,NOT_ELECTED,1480,35,1
Westerholm Anita,RKP,UUS,3554.454,0,NOT_ELECTED,1598,28,1
Cederlöf Karin,RKP,UUS,3286.8015,0,NOT_ELECTED,3619,28,1
Sigfrids Frida,RKP,UUS,2782.639,0,NOT_ELECTED,864,26,1
Af Hällström Nina,RKP,UUS,2167.4753,0,NOT_ELECTED,874,59,1
Åberg Karl,RKP,UUS,2015.8788,0,NOT_ELECTED,971,55,0
Gästrin Eva-Lena,RKP,UUS,1681.383,0,NOT_ELECTED,880,43,1
Röman Micaela,RKP,UUS,1201.0912,0,NOT_ELECTED,741,52,1
Wikström Anders,RKP,UUS,959.79095,0,NOT_ELECTED,259,42,0
Seppälä Heidi,RKP,UUS,849.71234,0,NOT_ELECTED,199,41,1
Himmanen Heidi,RKP,UUS,815.43134,0,NOT_ELECTED,492,43,1
Rehnström Kristian,RKP,UUS,806.15796,0,NOT_ELECTED,294,54,0
Karlsson Patrik,RKP,UUS,796.5797,0,NOT_ELECTED,484,57,0
Portin Anders,RKP,UUS,674.6952,0,NOT_ELECTED,267,64,0
Flemmich Ida,RKP,UUS,548.2719,0,NOT_ELECTED,182,26,1
Johansson Laura,RKP,UUS,536.7717,0,NOT_ELECTED,211,46,1
Lundmark Alexandra,RKP,UUS,531.0259,0,NOT_ELECTED,257,36,1
Rantala Fredrik,RKP,UUS,522.13135,0,NOT_ELECTED,256,37,0
Waselius Fredrik,RKP,UUS,517.362,0,NOT_ELECTED,377,44,0
Ståhle Julia,RKP,UUS,503.43323,0,NOT_ELECTED,304,25,1
Ekblom Sebastian,RKP,UUS,420.11212,0,NOT_ELECTED,81,36,0
Backlund Henrika,RKP,UUS,391.1582,0,NOT_ELECTED,774,41,1
Thompson Emmi,RKP,UUS,375.28915,0,NOT_ELECTED,174,42,1
Lind Petra,RKP,UUS,360.46887,0,NOT_ELECTED,298,48,1
Jäntti Emilie,RKP,UUS,351.20776,0,NOT_ELECTED,164,22,1
Forsblom-Prittinen Frida,RKP,UUS,340.3073,0,NOT_ELECTED,255,36,1
Mailaparampil Mathew,RKP,UUS,334.2339,0,NOT_ELECTED,56,46,0
Nyberg Kasper,RKP,UUS,306.26685,0,NOT_ELECTED,326,44,0
Blomberg Håkan,RKP,UUS,299.69495,0,NOT_ELECTED,109,65,0
Törner Kjell,RKP,UUS,288.71014,0,NOT_ELECTED,286,57,0
Storgård Päivi,RKP,UUS,282.8138,0,NOT_ELECTED,140,57,1
Dettmann Henrik,RKP,UUS,260.05908,0,NOT_ELECTED,1846,64,0
Meri Leena,PS,UUS,9559.899,1,ELECTED,6215,54,1
Purra Riikka,PS,UUS,9350.007,1,ELECTED,42594,45,1
Niikko Mika,PS,UUS,8344.497,1,ON_SUBSTITUTE_PLACE,2258,56,0
Koponen Ari,PS,UUS,6830.563,1,ELECTED,3021,40,0
Grönroos Simo,PS,UUS,5282.1997,1,NOT_ELECTED,1366,39,0
Aidanjuuri Tanja,PS,UUS,4710.394,1,NOT_ELECTED,1541,36,1
Rostila Onni,PS,UUS,4698.541,1,ELECTED,5027,30,0
Juvonen Arja,PS,UUS,4464.5723,0,ELECTED,3336,55,1
Keronen Jiri,PS,UUS,3798.0852,0,NOT_ELECTED,400,38,0
Karhu Suvi,PS,UUS,3185.3938,0,NOT_ELECTED,1402,37,1
Lastuvuori Jenni,PS,UUS,2886.9407,0,NOT_ELECTED,1231,37,1
Kajava Henna,PS,UUS,2673.2664,0,NOT_ELECTED,1036,49,1
Tapiolinna Maiju,PS,UUS,2336.092,0,NOT_ELECTED,863,57,1
Lampi Satu,PS,UUS,2219.232,0,NOT_ELECTED,2187,53,1
Piisinen Jorma,PS,UUS,2153.3867,1,ELECTED,7131,63,0
Järvinen Hannu,PS,UUS,2035.8666,0,NOT_ELECTED,899,57,0
Kalliomaa Antti,PS,UUS,1891.525,0,NOT_ELECTED,800,62,0
Hartikainen Janne,PS,UUS,1863.1587,0,NOT_ELECTED,1365,37,0
Servin Kevin,PS,UUS,1772.0575,0,NOT_ELECTED,763,49,0
Saimen Tuukka,PS,UUS,1733.9218,0,NOT_ELECTED,533,53,0
Laitinen Veli-Matti,PS,UUS,1454.6606,0,NOT_ELECTED,1606,57,0
Poikonen Piritta,PS,UUS,1290.9404,0,NOT_ELECTED,673,48,1
Valle Jaana,PS,UUS,1259.8966,0,NOT_ELECTED,964,56,1
Ampuja Ari,PS,UUS,1196.1293,0,NOT_ELECTED,650,56,0
Wacklin Sami,PS,UUS,1155.8262,0,NOT_ELECTED,421,51,0
Sassi Jukka,PS,UUS,1140.9275,0,NOT_ELECTED,548,56,0
Suoniemi Juha,PS,UUS,1138.0106,0,NOT_ELECTED,913,37,0
Syväranta Mervi,PS,UUS,1089.7296,0,NOT_ELECTED,760,49,1
Silvander Iiro,PS,UUS,1060.528,0,NOT_ELECTED,595,50,0
Raatikainen Joni,PS,UUS,1016.359,0,NOT_ELECTED,503,37,0
Liukkonen Pasi,PS,UUS,976.61597,0,NOT_ELECTED,1406,38,0
Ruuska Pertti,PS,UUS,892.1521,0,NOT_ELECTED,775,52,0
Putkonen Matti,PS,UUS,881.88116,0,NOT_ELECTED,525,72,0
Laaksonen Jani,PS,UUS,877.9389,0,NOT_ELECTED,303,43,0
Valve Mari,PS,UUS,830.8593,0,NOT_ELECTED,849,40,1
Isberg Jeppe,PS,UUS,752.5813,0,NOT_ELECTED,644,56,0
Keskisarja Teemu,PS,UUS,735.25226,1,ELECTED,6586,51,0
Nieminen Riikka,PIR,UUS,359.53662,0,NOT_ELECTED,198,43,1
Aittoniemi Toni,PIR,UUS,190.49449,0,NOT_ELECTED,283,46,0
Mahlamäki Joni,PIR,UUS,158.46161,0,NOT_ELECTED,78,41,0
Mäkinen Joonas,PIR,UUS,132.60155,0,NOT_ELECTED,57,34,0
Sepperi Toni,PIR,UUS,132.60155,0,NOT_ELECTED,43,41,0
Harkimo Harry,LIIK,UUS,13581.22,1,ELECTED,8607,69,0
Rusi Alpo,LIIK,UUS,3734.0312,1,NOT_ELECTED,289,73,0
Stenvall Nora,LIIK,UUS,2293.5366,0,NOT_ELECTED,1058,42,1
Nummela Nina,LIIK,UUS,2214.168,0,ON_SUBSTITUTE_PLACE,1448,52,1
Sundelin Linda,LIIK,UUS,897.19147,0,NOT_ELECTED,631,49,1
Vacker Marjo,LIIK,UUS,711.08124,0,NOT_ELECTED,1101,44,1
Miranda Jari,LIIK,UUS,664.4091,0,NOT_ELECTED,71,32,0
Ingraeus Annika,LIIK,UUS,607.77045,0,NOT_ELECTED,566,53,1
Björklund Mikko,LIIK,UUS,564.4593,0,NOT_ELECTED,276,44,0
Lindroos Rasmus,LIIK,UUS,505.7111,0,NOT_ELECTED,223,52,0
Pulkkanen Petri,LIIK,UUS,466.06268,0,NOT_ELECTED,98,54,0
Meurman Kristian,LIIK,UUS,465.79895,0,NOT_ELECTED,307,43,0
Ikänen Jari,LIIK,UUS,398.66202,0,NOT_ELECTED,135,65,0
Morelius Kenneth,LIIK,UUS,383.8345,0,NOT_ELECTED,657,61,0
Ojanen Ville,LIIK,UUS,362.3321,0,NOT_ELECTED,175,49,0
Rönnholm Jarkko,LIIK,UUS,356.30472,0,NOT_ELECTED,218,46,0
Perälä Mika,LIIK,UUS,352.8693,0,NOT_ELECTED,145,51,0
Matikainen Minna,LIIK,UUS,350.36826,0,NOT_ELECTED,201,44,1
Sakki Jarno,LIIK,UUS,341.9826,0,NOT_ELECTED,88,50,0
Kurtti Tommi,LIIK,UUS,335.15707,0,NOT_ELECTED,168,59,0
Luomala Mikko,LIIK,UUS,333.4724,0,NOT_ELECTED,176,32,0
Janhunen Kirsi,LIIK,UUS,330.89578,0,NOT_ELECTED,200,52,1
Lahdelma Mika,LIIK,UUS,319.27026,0,NOT_ELECTED,82,43,0
Brander Tony,LIIK,UUS,319.09723,0,NOT_ELECTED,508,33,0
Von Flittner Maria,LIIK,UUS,317.45184,0,NOT_ELECTED,195,54,1
Still Pia,LIIK,UUS,306.81238,0,NOT_ELECTED,384,41,1
Valosaari Joonas,LIIK,UUS,294.6912,0,NOT_ELECTED,689,42,0
Mäkiaho Hanna,LIIK,UUS,270.23264,0,NOT_ELECTED,376,49,1
Lehesjoki Matti,LIIK,UUS,264.70392,0,NOT_ELECTED,117,66,0
Sundberg Tatja,LIIK,UUS,263.05737,0,NOT_ELECTED,129,29,1
Karikoski Antti,LIIK,UUS,261.39288,0,NOT_ELECTED,221,38,0
Lehtinen Antti,LIIK,UUS,261.39288,0,NOT_ELECTED,68,39,0
Tirronen Kari,LIIK,UUS,259.72247,0,NOT_ELECTED,154,60,0
Virtanen Tom,LIIK,UUS,259.72247,0,NOT_ELECTED,52,58,0
Ragnell Sami,LIIK,UUS,257.12756,0,NOT_ELECTED,432,38,0
Soikkeli Markku,LIIK,UUS,256.8238,0,NOT_ELECTED,63,62,0
Harkimo Amanda,LIIK,UUS,168.65291,0,NOT_ELECTED,803,32,1
Kurronen Sanna,LIBE,UUS,3887.5596,0,NOT_ELECTED,2386,40,1
Kopakkala Olli,LIBE,UUS,291.21176,0,NOT_ELECTED,44,34,0
Pollari Visa,LIBE,UUS,247.12025,0,NOT_ELECTED,95,28,0
Kohtala Lauri,LIBE,UUS,187.99231,0,NOT_ELECTED,75,31,0
Anttila Reijo,LIBE,UUS,187.98701,0,NOT_ELECTED,82,51,0
Uusi-Kokko Matti,LIBE,UUS,185.13663,0,NOT_ELECTED,77,34,0
Ålander Kimmo,LIBE,UUS,168.67921,0,NOT_ELECTED,69,55,0
Nikander Tessa,LIBE,UUS,166.37747,0,NOT_ELECTED,196,27,1
Stenman Tim,LIBE,UUS,164.4779,0,NOT_ELECTED,37,33,0
Niemi Tero,LIBE,UUS,157.94063,0,NOT_ELECTED,22,45,0
Kivelä Taina,LIBE,UUS,157.4361,0,NOT_ELECTED,92,61,1
Rouhiainen Wilja,LIBE,UUS,144.28113,0,NOT_ELECTED,54,25,1
Muukkonen Matti,LIBE,UUS,131.93147,0,NOT_ELECTED,254,40,0
Pohjasniemi Tero,LIBE,UUS,131.93147,0,NOT_ELECTED,69,37,0
Koivisto Jari,LIBE,UUS,131.93147,0,NOT_ELECTED,40,36,0
Demidoff Marko,LIBE,UUS,131.93147,0,NOT_ELECTED,39,41,0
Perälä Sami,LIBE,UUS,119.36923,0,NOT_ELECTED,15,22,0
Uusitalo Jari,LIBE,UUS,116.50473,0,NOT_ELECTED,59,51,0
Kähärä Juhani,LIBE,UUS,98.93771,0,NOT_ELECTED,226,33,0
Virta Raija,LIBE,UUS,84.89008,0,NOT_ELECTED,63,70,1
Ahtola Eero,LIBE,UUS,-7.46601,0,NOT_ELECTED,434,39,0
Lyytikäinen Juho,KRIP,UUS,784.5886,0,NOT_ELECTED,614,42,0
Bienek Helen,KRIP,UUS,123.85369,0,NOT_ELECTED,90,59,1
Tanhua Seppo,KRIP,UUS,91.962906,0,NOT_ELECTED,219,66,0
Mykkänen Kai,KOK,UUS,14839.808,1,ELECTED,15072,43,0
Multala Sari,KOK,UUS,8919.875,1,ELECTED,7208,44,1
Vestman Heikki,KOK,UUS,8915.62,1,ELECTED,9836,37,0
Laiho Mia,KOK,UUS,7640.0527,1,ELECTED,8042,53,1
Sammallahti Tere,KOK,UUS,7384.941,1,ELECTED,5277,41,0
Kauma Pia,KOK,UUS,7195.263,1,ELECTED,6199,56,1
Limnell Jarno,KOK,UUS,6646.0986,1,ELECTED,13917,49,0
Lehtonen Lasse,KOK,UUS,6355.3794,1,NOT_ELECTED,2625,61,0
Katainen Mervi,KOK,UUS,5724.705,1,NOT_ELECTED,3852,44,1
Vuornos Henrik,KOK,UUS,5611.8184,1,NOT_ELECTED,4033,29,0
Paasi Martin,KOK,UUS,5374.8286,1,ON_SUBSTITUTE_PLACE,4534,50,0
Päivärinta Susanne,KOK,UUS,5291.5137,1,ELECTED,6909,58,1
Keto-Huovinen Pihla,KOK,UUS,5168.426,1,ELECTED,5223,48,1
Toveri Pekka,KOK,UUS,4929.062,1,ELECTED,9667,61,0
Rokkanen Sakari,KOK,UUS,4052.8176,0,NOT_ELECTED,2118,31,0
Fagerström Noora,KOK,UUS,3394.7507,1,ELECTED,6545,37,1
Graeffe Petri,KOK,UUS,3130.9463,0,NOT_ELECTED,2332,54,0
Tupamäki Binga,KOK,UUS,3101.0825,0,NOT_ELECTED,1819,24,1
Raja-Aho Maarit,KOK,UUS,2795.5688,1,NOT_ELECTED,2118,50,1
Vehmanen Emma-Stina,KOK,UUS,2684.2625,0,NOT_ELECTED,2087,30,1
Aura Anssi,KOK,UUS,2668.5627,0,NOT_ELECTED,2235,40,0
Kasonen Mika,KOK,UUS,2512.5576,1,NOT_ELECTED,3860,50,0
Lintunen Kai,KOK,UUS,2190.5996,0,NOT_ELECTED,1635,46,0
Kallio Timo,KOK,UUS,2069.8013,0,NOT_ELECTED,790,57,0
Fjäder Sture,KOK,UUS,2051.5005,0,NOT_ELECTED,878,65,0
Hietanen-Tanskanen Ira,KOK,UUS,1963.5979,0,NOT_ELECTED,1814,35,1
Piirtola Mikko,KOK,UUS,1912.3383,0,NOT_ELECTED,1445,61,0
Sahiluoma Anna,KOK,UUS,1559.9502,0,NOT_ELECTED,2900,38,1
Hakala Heli,KOK,UUS,1516.6818,0,NOT_ELECTED,2119,48,1
Pursiainen Leevi,KOK,UUS,1470.864,0,NOT_ELECTED,1076,64,0
Eerola Markus,KOK,UUS,1466.0342,0,NOT_ELECTED,1679,61,0
Alaviiri Kaisa,KOK,UUS,1270.9635,0,NOT_ELECTED,1783,60,1
Ijäs Seppo,KOK,UUS,1267.0413,0,NOT_ELECTED,1716,48,0
Räty Virpi,KOK,UUS,1212.2653,0,NOT_ELECTED,1380,57,1
Lindgren Satu,KOK,UUS,1157.6027,0,NOT_ELECTED,1095,43,1
Ahava Marja,KOK,UUS,778.2247,0,NOT_ELECTED,1208,50,1
Enjala Terhi,KOK,UUS,737.4708,0,NOT_ELECTED,1119,53,1
Vuorela Miko,KL,UUS,263.36276,0,NOT_ELECTED,56,36,0
Arpiainen Tero,KL,UUS,164.4779,0,NOT_ELECTED,45,37,0
Valkama Vesa,KL,UUS,126.734856,0,NOT_ELECTED,121,57,0
Kalpio Jarmo,KL,UUS,121.11929,0,NOT_ELECTED,25,60,0
Kaikkonen Antti,KESK,UUS,10613.624,1,ELECTED,12687,49,0
Pakarinen Riikka,KESK,UUS,5082.235,1,ON_SUBSTITUTE_PLACE,1647,41,1
Eronen Aku,KESK,UUS,3128.6917,0,NOT_ELECTED,67,69,0
Viljanen Eerikki,KESK,UUS,2726.6477,0,ELECTED,2787,47,0
Sylf Samuel,KESK,UUS,2564.241,0,NOT_ELECTED,30,33,0
Laaninen Timo,KESK,UUS,1705.706,0,NOT_ELECTED,551,68,0
Luokkala Pirjo,KESK,UUS,1514.4003,0,NOT_ELECTED,1150,60,1
